Station,Day(Local_Date),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa)
5451,2014 May 11,0.2,6.7,14.8,-1.4,-3.5,7.7
11104,2014 May 12,10.8,9.3,14.3,4.2,1.3,10.0
18183,2014 May 12,0.0,12.8,18.5,7.4,6.7,12.3
1962,2014 May 12,0.0,14.2,19.2,9.2,7.4,13.7
2283,2014 May 12,1.4,11.7,17.1,6.2,4.8,12.4
24120,2014 May 12,0.1,10.3,18.6,3.1,-,10.2
24976,2014 May 12,0.2,11.3,19.4,5.5,4.0,9.9
3445,2014 May 12,0.0,14.6,16.5,12.7,-,12.4
4271,2014 May 12,0.4,10.3,16.4,4.1,-0.4,10.5
5451,2014 May 12,0.8,8.5,14.0,3.0,1.2,8.5
11104,2014 May 13,0.4,8.1,12.4,3.8,0.5,9.8
18183,2014 May 13,1.0,13.3,18.5,8.4,7.2,13.5
1962,2014 May 13,1.2,14.5,18.6,10.4,8.7,13.5
2283,2014 May 13,9.8,11.6,17.2,5.9,4.4,12.4
24120,2014 May 13,7.3,10.1,12.9,7.5,-,11.5
24976,2014 May 13,1.0,12.5,20.3,5.3,2.9,9.6
3445,2014 May 13,0.8,14.8,16.8,12.7,-,13.6
4271,2014 May 13,6.4,10.0,13.4,6.6,2.2,12.2
5451,2014 May 13,1.8,7.8,9.8,5.8,3.9,9.8
11104,2014 May 14,0.4,8.4,12.7,4.1,0.5,9.7
18183,2014 May 14,5.6,14.3,18.1,12.4,10.7,13.3
1962,2014 May 14,26.0,13.2,16.6,9.7,9.7,13.2
2283,2014 May 14,9.2,9.8,14.2,5.3,2.9,11.3
24120,2014 May 14,17.2,9.7,13.4,6.6,-,11.0
24976,2014 May 14,4.2,11.4,18.6,7.8,4.9,10.6
3445,2014 May 14,9.0,11.9,13.4,10.4,-,12.5
4271,2014 May 14,1.6,12.0,16.7,7.2,1.5,11.4
5451,2014 May 14,0.0,7.0,10.0,3.9,2.4,8.5
11104,2014 May 15,0.0,8.4,14.4,2.4,-0.5,9.7
18183,2014 May 15,3.0,13.6,17.5,10.3,7.9,12.4
1962,2014 May 15,2.6,13.9,17.0,10.7,7.0,12.4
2283,2014 May 15,0.0,10.1,14.8,5.3,2.3,10.7
24120,2014 May 15,0.4,8.7,13.3,3.2,-,9.9
24976,2014 May 15,5.0,11.3,14.4,6.9,5.0,10.6
3445,2014 May 15,3.3,11.6,13.2,9.9,-,11.4
4271,2014 May 15,0.4,10.4,15.9,4.9,0.1,10.1
5451,2014 May 15,0.0,6.2,11.2,1.1,-1.8,7.9
11104,2014 May 16,0.0,8.2,15.3,1.1,-1.6,8.9
18183,2014 May 16,0.0,13.5,18.1,9.4,7.8,11.6
1962,2014 May 16,0.0,11.5,16.0,6.9,2.2,11.2
2283,2014 May 16,0.0,9.7,15.5,3.9,1.6,10.1
24120,2014 May 16,0.0,7.0,13.2,0.3,-,8.6
24976,2014 May 16,1.4,13.0,16.0,10.4,7.2,10.4
3445,2014 May 16,0.0,12.5,14.1,10.9,-,10.4
4271,2014 May 16,0.2,8.9,14.9,2.8,-1.9,9.0
5451,2014 May 16,0.2,6.1,13.5,-1.4,-3.1,7.3
11104,2014 May 17,0.0,9.9,14.4,5.4,0.2,10.1
18183,2014 May 17,0.0,13.5,18.1,7.8,6.3,11.9
1962,2014 May 17,0.0,11.6,17.6,5.6,1.7,13.0
2283,2014 May 17,0.0,10.2,18.1,2.3,0.2,10.5
24120,2014 May 17,0.0,9.1,17.0,2.7,-,9.4
24976,2014 May 17,0.0,10.5,20.4,5.6,2.1,9.2
3445,2014 May 17,0.0,12.5,16.6,8.4,-,11.4
4271,2014 May 17,0.0,11.8,20.4,3.2,-0.9,10.5
5451,2014 May 17,0.0,11.2,16.0,6.3,2.2,8.9
11104,2014 May 18,5.2,9.9,15.0,4.8,-1.1,10.1
18183,2014 May 18,0.8,15.0,18.2,11.4,9.5,15.0
1962,2014 May 18,0.0,12.9,17.3,8.5,4.1,13.4
2283,2014 May 18,0.0,11.4,16.7,6.1,4.1,12.8
24120,2014 May 18,0.0,11.7,17.5,4.8,-,10.8
24976,2014 May 18,0.0,10.9,20.3,3.5,2.0,9.1
3445,2014 May 18,0.2,12.6,16.6,8.6,-,12.6
4271,2014 May 18,0.2,11.7,18.5,4.8,0.1,10.8
5451,2014 May 18,7.6,9.8,14.1,5.4,3.4,10.5
11104,2014 May 19,0.0,10.8,18.4,3.2,-1.2,11.3
18183,2014 May 19,0.0,14.4,20.2,10.3,8.0,13.7
1962,2014 May 19,0.0,14.2,18.7,9.7,6.2,15.0
2283,2014 May 19,0.0,12.7,18.6,6.8,5.1,13.5
24120,2014 May 19,0.0,11.5,15.4,7.7,-,11.1
24976,2014 May 19,0.0,11.8,20.8,6.2,4.5,10.8
3445,2014 May 19,0.0,13.9,18.2,9.5,-,13.4
4271,2014 May 19,0.0,13.2,17.6,8.8,3.2,11.9
5451,2014 May 19,0.2,11.4,17.5,5.2,2.6,10.3
11104,2014 May 20,14.6,13.2,16.7,9.7,9.4,12.5
18183,2014 May 20,0.0,14.1,19.8,10.1,6.8,13.7
1962,2014 May 20,0.0,13.5,18.3,8.6,5.7,14.1
2283,2014 May 20,0.0,13.1,17.5,8.7,6.5,14.2
24120,2014 May 20,0.0,14.2,21.9,8.2,-,10.6
24976,2014 May 20,0.0,12.6,21.0,6.7,4.7,10.6
3445,2014 May 20,0.0,15.8,18.4,13.1,-,14.2
4271,2014 May 20,0.0,15.2,20.2,10.2,4.6,12.3
5451,2014 May 20,1.2,12.7,16.7,8.7,6.6,11.6
11104,2014 May 21,23.4,7.3,10.4,4.1,2.2,9.0
18183,2014 May 21,1.6,13.6,17.9,8.1,6.9,14.5
1962,2014 May 21,1.2,14.5,19.0,10.0,7.6,15.3
2283,2014 May 21,5.8,15.6,18.2,12.9,11.0,15.3
24120,2014 May 21,0.0,13.6,20.6,7.5,-,9.7
24976,2014 May 21,0.0,13.4,21.9,4.9,1.5,10.7
3445,2014 May 21,1.2,14.2,18.2,10.1,-,13.9
4271,2014 May 21,0.0,13.0,16.9,9.1,3.7,11.8
5451,2014 May 21,10.4,8.4,12.9,3.8,-0.3,8.2
11104,2014 May 22,1.6,8.2,14.2,2.2,-0.8,8.6
18183,2014 May 22,2.0,14.7,18.1,11.6,9.6,12.9
1962,2014 May 22,3.2,15.4,17.8,12.9,9.4,11.9
2283,2014 May 22,0.0,11.9,15.7,8.0,4.4,10.2
24120,2014 May 22,0.0,8.0,13.9,3.5,-,8.0
24976,2014 May 22,1.4,12.0,17.4,5.9,2.4,11.0
3445,2014 May 22,0.0,10.9,14.5,7.3,-,9.1
4271,2014 May 22,0.0,9.8,14.5,5.1,-1.1,7.9
5451,2014 May 22,0.0,7.3,14.6,-0.1,-2.4,7.1
11104,2014 May 23,13.2,10.2,13.5,6.8,4.1,10.1
18183,2014 May 23,0.0,14.2,18.0,9.6,7.8,12.3
1962,2014 May 23,0.0,15.5,18.1,12.8,10.5,14.1
2283,2014 May 23,1.0,14.6,17.1,12.0,10.5,15.5
24120,2014 May 23,0.0,13.5,22.3,6.8,-,10.2
24976,2014 May 23,0.0,12.9,19.4,4.9,0.9,10.4
3445,2014 May 23,0.0,15.4,18.2,12.5,-,13.9
4271,2014 May 23,2.6,12.8,18.8,6.8,1.4,12.0
5451,2014 May 23,22.6,10.1,13.1,7.0,1.0,10.2
11104,2014 May 24,6.6,7.1,12.9,1.3,0.0,7.2
18183,2014 May 24,0.0,15.9,20.0,12.9,8.7,16.1
1962,2014 May 24,1.6,17.9,20.3,15.5,13.3,16.5
2283,2014 May 24,5.6,16.4,18.7,14.1,13.7,17.2
24120,2014 May 24,0.0,12.9,20.6,7.0,-,9.1
24976,2014 May 24,0.0,18.5,21.7,16.2,14.1,12.6
3445,2014 May 24,3.8,15.7,16.8,14.6,-,14.6
4271,2014 May 24,22.0,12.2,15.6,8.7,3.8,13.1
5451,2014 May 24,2.0,8.1,13.5,2.6,-2.1,6.3
11104,2014 May 25,24.0,3.9,6.4,1.4,-0.5,6.5
18183,2014 May 25,5.0,16.5,19.3,14.2,12.6,17.6
1962,2014 May 25,8.4,16.5,18.9,14.0,12.2,15.4
2283,2014 May 25,2.6,13.7,16.4,10.9,7.7,12.3
24120,2014 May 25,1.3,7.9,16.0,1.4,-,7.1
24976,2014 May 25,0.0,17.0,20.6,12.4,8.1,10.7
3445,2014 May 25,0.2,11.9,16.0,7.7,-,9.8
4271,2014 May 25,1.0,9.8,15.2,4.4,-0.6,9.4
5451,2014 May 25,17.2,3.6,6.5,0.7,-2.9,6.1
11104,2014 May 26,1.0,5.2,7.7,2.7,1.0,6.5
18183,2014 May 26,0.2,13.9,17.0,10.6,8.7,11.9
1962,2014 May 26,1.0,11.6,15.6,7.5,4.5,10.8
2283,2014 May 26,5.4,9.0,15.5,2.5,-1.1,8.7
24120,2014 May 26,5.1,3.4,7.8,-1.6,-,6.0
24976,2014 May 26,1.9,12.6,17.3,4.9,2.1,7.7
3445,2014 May 26,1.0,10.9,14.3,7.4,-,7.6
4271,2014 May 26,0.2,6.3,10.6,2.0,-3.5,6.8
5451,2014 May 26,7.8,0.8,3.3,-1.8,0.1,5.9
11104,2014 May 27,0.2,4.8,9.2,0.4,-1.6,6.6
18183,2014 May 27,0.0,9.9,14.5,5.0,2.8,7.9
1962,2014 May 27,0.0,8.1,12.3,3.9,-1.1,7.5
2283,2014 May 27,0.0,6.1,12.1,0.1,-3.7,6.9
24120,2014 May 27,0.0,3.8,10.9,-3.3,-,6.3
24976,2014 May 27,0.3,7.2,12.1,3.7,0.3,7.8
3445,2014 May 27,0.0,8.6,12.4,4.7,-,7.6
4271,2014 May 27,0.0,5.0,12.0,-2.1,-6.2,6.4
5451,2014 May 27,2.2,-0.9,3.6,-5.4,-0.2,5.0
11104,2014 May 28,0.0,12.2,16.5,7.9,5.7,8.9
18183,2014 May 28,0.0,9.6,17.3,3.7,2.4,9.1
1962,2014 May 28,0.0,7.2,13.4,0.9,-3.2,7.4
2283,2014 May 28,0.0,10.1,13.7,6.5,6.1,9.6
24120,2014 May 28,0.0,7.9,15.2,0.4,-,7.5
24976,2014 May 28,0.0,8.1,16.4,1.6,-0.2,6.8
3445,2014 May 28,0.0,12.7,14.0,11.4,-,9.9
4271,2014 May 28,0.0,7.5,14.4,0.6,-3.7,8.2
5451,2014 May 28,5.8,8.1,15.0,1.2,0.1,7.0
11104,2014 May 29,5.4,7.7,12.5,2.9,0.5,8.4
18183,2014 May 29,0.0,12.6,17.6,6.2,5.2,13.3
1962,2014 May 29,0.8,11.5,16.0,7.0,5.6,13.1
2283,2014 May 29,12.0,14.3,16.3,12.3,10.6,14.9
24120,2014 May 29,0.0,12.0,21.8,5.0,-,8.9
24976,2014 May 29,0.0,12.0,17.6,5.2,0.1,9.5
3445,2014 May 29,0.8,13.2,16.7,9.6,-,12.9
4271,2014 May 29,0.0,10.8,16.1,5.4,0.8,11.5
5451,2014 May 29,6.4,5.4,12.2,-1.4,-4.5,7.9
11104,2014 May 30,7.0,6.3,9.5,3.0,2.0,8.7
18183,2014 May 30,1.2,14.9,18.6,11.3,9.7,15.1
1962,2014 May 30,5.6,14.4,17.2,11.6,10.7,14.7
2283,2014 May 30,0.0,11.5,14.5,8.5,6.7,10.8
24120,2014 May 30,0.7,4.3,10.7,-0.6,-,6.3
24976,2014 May 30,23.6,11.7,14.2,9.8,8.9,12.0
3445,2014 May 30,0.1,7.7,10.9,4.4,-,8.4
4271,2014 May 30,2.8,9.9,13.3,6.4,0.6,9.6
5451,2014 May 30,0.0,2.3,7.3,-2.7,-5.8,5.2
11104,2014 May 31,1.4,7.5,11.0,3.9,2.6,9.5
18183,2014 May 31,0.0,13.0,18.1,9.0,5.9,12.6
1962,2014 May 31,0.0,11.9,15.5,8.2,2.6,11.1
2283,2014 May 31,0.0,9.3,13.0,5.5,0.5,8.3
24120,2014 May 31,0.0,3.6,12.4,-2.0,-,6.4
24976,2014 May 31,1.4,10.5,13.4,8.6,7.6,10.3
3445,2014 May 31,0.0,7.8,12.9,2.6,-,8.2
4271,2014 May 31,0.0,7.5,12.4,2.5,-2.7,8.5
5451,2014 May 31,0.2,2.4,8.7,-3.9,-6.7,5.4
11104,2014 Jun 01,0.0,9.0,12.2,5.7,3.8,10.2
18183,2014 Jun 01,0.0,12.0,17.2,8.3,4.3,11.1
1962,2014 Jun 01,0.0,10.6,15.2,6.0,2.6,10.7
2283,2014 Jun 01,0.0,9.8,14.5,5.0,1.4,9.5
24120,2014 Jun 01,0.0,3.3,11.1,-1.9,-,6.7
24976,2014 Jun 01,3.6,11.0,14.9,8.6,6.9,11.6
3445,2014 Jun 01,0.0,7.1,13.8,0.3,-,8.4
4271,2014 Jun 01,0.2,7.2,14.2,0.2,-4.7,7.5
5451,2014 Jun 01,0.2,3.8,9.9,-2.4,-4.5,5.5
11104,2014 Jun 02,4.6,8.4,11.3,5.4,2.8,10.4
18183,2014 Jun 02,0.0,13.7,18.7,9.2,7.7,13.0
1962,2014 Jun 02,0.2,12.4,14.7,10.0,6.3,11.7
2283,2014 Jun 02,0.0,9.9,15.2,4.6,0.3,10.2
24120,2014 Jun 02,0.0,3.4,11.8,-2.9,-,6.8
24976,2014 Jun 02,16.5,11.8,13.5,10.2,9.9,13.0
3445,2014 Jun 02,0.2,7.1,12.5,1.6,-,9.7
4271,2014 Jun 02,0.2,7.4,14.7,0.0,-5.5,7.3
5451,2014 Jun 02,0.0,2.6,7.5,-2.3,-4.9,6.0
11104,2014 Jun 03,0.0,7.4,13.3,1.5,-3.5,8.5
18183,2014 Jun 03,0.0,15.3,20.8,11.7,10.3,14.8
1962,2014 Jun 03,0.0,13.3,17.6,8.9,5.5,12.6
2283,2014 Jun 03,0.0,12.1,15.1,9.1,7.2,11.9
24120,2014 Jun 03,0.0,4.4,11.6,-1.4,-,7.5
24976,2014 Jun 03,5.7,12.3,16.0,9.9,7.2,12.8
3445,2014 Jun 03,0.1,8.3,13.6,2.9,-,10.8
4271,2014 Jun 03,0.2,8.1,14.8,1.3,-3.6,8.5
5451,2014 Jun 03,0.2,3.7,8.4,-1.1,-1.8,6.4
11104,2014 Jun 04,0.2,5.4,11.8,-1.1,-5.2,7.0
18183,2014 Jun 04,0.0,15.0,19.9,12.3,10.5,13.4
1962,2014 Jun 04,0.0,13.4,18.0,8.7,3.7,11.9
2283,2014 Jun 04,0.4,11.6,16.2,7.0,4.4,11.7
24120,2014 Jun 04,0.0,7.5,12.8,1.7,-,9.4
24976,2014 Jun 04,3.2,11.4,16.0,9.1,7.1,11.8
3445,2014 Jun 04,0.0,9.6,14.4,4.7,-,10.3
4271,2014 Jun 04,0.0,9.9,15.6,4.2,-1.2,9.3
5451,2014 Jun 04,0.0,2.3,6.6,-2.1,-1.7,6.0
11104,2014 Jun 05,0.8,9.3,12.7,5.8,2.5,10.6
18183,2014 Jun 05,0.0,14.6,18.8,12.0,10.2,13.3
1962,2014 Jun 05,0.0,11.6,15.9,7.3,3.1,12.0
2283,2014 Jun 05,0.0,10.5,15.6,5.4,2.1,10.4
24120,2014 Jun 05,0.0,9.2,16.8,3.3,-,9.8
24976,2014 Jun 05,0.1,10.8,17.1,6.6,3.5,10.7
3445,2014 Jun 05,0.0,14.2,16.7,11.6,-,13.6
4271,2014 Jun 05,0.0,8.9,14.4,3.4,-1.0,10.0
5451,2014 Jun 05,0.0,9.0,15.4,2.5,0.8,9.1
11104,2014 Jun 06,1.0,9.2,10.7,7.6,7.0,10.2
18183,2014 Jun 06,1.6,14.5,17.7,10.6,9.5,14.9
1962,2014 Jun 06,0.2,12.7,17.9,7.5,4.1,13.1
2283,2014 Jun 06,0.0,11.5,15.9,7.0,5.1,12.0
24120,2014 Jun 06,1.6,10.7,13.2,8.8,-,11.8
24976,2014 Jun 06,0.0,10.4,18.2,5.1,3.3,9.8
3445,2014 Jun 06,0.0,14.2,15.2,13.2,-,13.1
4271,2014 Jun 06,0.0,9.4,14.7,4.0,-0.5,10.4
5451,2014 Jun 06,0.0,7.3,12.2,2.3,-0.7,9.5
11104,2014 Jun 07,2.4,8.8,12.3,5.2,0.7,10.1
18183,2014 Jun 07,0.0,15.7,18.5,13.8,12.5,15.5
1962,2014 Jun 07,0.0,14.1,18.3,9.8,4.7,12.8
2283,2014 Jun 07,5.4,13.4,16.0,10.8,10.1,14.5
24120,2014 Jun 07,0.0,9.8,13.6,6.8,-,11.4
24976,2014 Jun 07,0.0,11.0,19.2,5.5,4.0,10.2
3445,2014 Jun 07,0.3,14.7,16.1,13.3,-,14.1
4271,2014 Jun 07,0.0,9.8,13.8,5.8,1.0,11.4
5451,2014 Jun 07,0.0,6.3,11.0,1.5,-0.5,8.6
11104,2014 Jun 08,0.2,6.5,11.2,1.8,-1.7,9.3
18183,2014 Jun 08,4.6,17.2,19.3,15.4,14.4,17.6
1962,2014 Jun 08,0.0,14.0,19.2,8.8,3.9,14.7
2283,2014 Jun 08,0.4,13.4,17.5,9.2,6.6,12.8
24120,2014 Jun 08,1.2,8.7,10.8,7.2,-,10.5
24976,2014 Jun 08,0.0,11.3,19.0,5.4,3.1,11.4
3445,2014 Jun 08,0.0,13.9,16.3,11.5,-,12.8
4271,2014 Jun 08,3.2,11.4,14.2,8.6,4.0,13.0
5451,2014 Jun 08,0.0,3.6,7.5,-0.4,-3.9,7.5
11104,2014 Jun 09,0.0,7.6,10.8,4.3,0.0,9.5
18183,2014 Jun 09,44.8,17.0,17.9,14.4,13.6,18.4
1962,2014 Jun 09,13.8,16.5,18.3,14.6,13.9,16.4
2283,2014 Jun 09,9.4,14.6,15.5,13.6,11.8,14.9
24120,2014 Jun 09,21.4,9.5,11.8,8.0,-,10.8
24976,2014 Jun 09,0.0,11.4,18.0,7.2,5.4,11.5
3445,2014 Jun 09,11.1,12.9,14.3,11.5,-,13.4
4271,2014 Jun 09,20.6,11.9,13.0,10.8,9.7,13.0
5451,2014 Jun 09,3.0,4.6,7.5,1.6,-0.1,7.8
11104,2014 Jun 10,0.0,9.2,11.4,6.9,5.0,9.4
18183,2014 Jun 10,52.4,15.2,16.9,14.2,13.4,16.6
1962,2014 Jun 10,49.8,14.3,15.6,12.9,12.0,14.8
2283,2014 Jun 10,24.4,13.0,14.8,11.1,10.4,13.6
24120,2014 Jun 10,20.1,9.2,11.2,7.0,-,10.6
24976,2014 Jun 10,7.5,11.7,15.0,9.1,7.5,12.8
3445,2014 Jun 10,16.2,12.8,13.9,11.6,-,12.9
4271,2014 Jun 10,17.0,12.7,14.2,11.1,9.7,12.4
5451,2014 Jun 10,0.0,8.3,9.5,7.1,5.2,8.1
11104,2014 Jun 11,0.0,7.5,10.0,5.0,2.6,7.9
18183,2014 Jun 11,1.4,14.2,16.6,9.3,7.7,14.2
1962,2014 Jun 11,36.0,15.0,18.8,11.1,8.3,14.3
2283,2014 Jun 11,14.4,13.8,16.5,11.0,10.1,12.6
24120,2014 Jun 11,0.4,7.3,9.9,5.4,-,9.2
24976,2014 Jun 11,58.2,13.6,14.6,12.4,11.5,13.9
3445,2014 Jun 11,2.8,12.8,13.7,11.9,-,11.3
4271,2014 Jun 11,0.0,13.7,14.6,12.8,8.5,9.0
5451,2014 Jun 11,0.0,7.7,9.8,5.5,3.9,7.0
11104,2014 Jun 12,0.0,6.0,11.7,0.3,-3.2,7.3
18183,2014 Jun 12,0.2,12.5,17.8,7.4,6.4,12.5
1962,2014 Jun 12,0.4,13.5,16.9,10.0,6.1,13.4
2283,2014 Jun 12,9.0,12.5,14.2,10.7,8.7,12.1
24120,2014 Jun 12,12.0,8.2,11.3,5.3,-,10.5
24976,2014 Jun 12,10.6,13.3,14.9,12.1,9.9,12.4
3445,2014 Jun 12,0.0,12.2,14.2,10.2,-,10.8
4271,2014 Jun 12,0.0,12.9,16.4,9.3,3.7,9.5
5451,2014 Jun 12,0.0,3.9,8.6,-0.9,-3.8,6.2
11104,2014 Jun 13,0.0,5.1,9.9,0.2,-3.2,7.8
18183,2014 Jun 13,0.0,13.5,17.3,10.3,9.3,12.0
1962,2014 Jun 13,0.0,13.1,16.4,9.8,5.7,11.3
2283,2014 Jun 13,0.0,11.5,16.1,6.8,2.6,10.3
24120,2014 Jun 13,0.0,9.5,12.9,5.4,-,10.9
24976,2014 Jun 13,8.6,12.8,16.9,8.8,6.0,11.5
3445,2014 Jun 13,0.0,11.3,14.7,7.8,-,11.2
4271,2014 Jun 13,0.0,11.2,16.3,6.0,-0.3,9.8
5451,2014 Jun 13,0.0,3.8,9.4,-1.9,-4.0,6.6
11104,2014 Jun 14,0.0,7.4,13.6,1.2,-2.4,8.4
18183,2014 Jun 14,0.0,13.8,18.7,9.8,8.8,12.4
1962,2014 Jun 14,0.0,10.5,15.8,5.1,2.1,10.5
2283,2014 Jun 14,0.0,9.8,15.2,4.4,1.8,9.5
24120,2014 Jun 14,0.1,7.8,13.2,2.7,-,9.7
24976,2014 Jun 14,2.4,10.5,16.7,7.2,4.3,10.7
3445,2014 Jun 14,0.2,10.0,14.8,5.1,-,10.5
4271,2014 Jun 14,0.0,8.9,13.9,3.8,-1.2,9.5
5451,2014 Jun 14,0.0,3.6,6.8,0.3,-1.2,7.3
11104,2014 Jun 15,3.4,9.2,11.9,6.4,3.4,10.2
18183,2014 Jun 15,0.0,13.5,18.1,8.2,7.4,12.2
1962,2014 Jun 15,0.2,11.1,17.1,5.0,1.9,11.4
2283,2014 Jun 15,0.0,9.7,15.4,4.0,2.2,11.2
24120,2014 Jun 15,0.0,6.8,15.8,2.0,-,8.6
24976,2014 Jun 15,0.0,9.0,16.3,4.0,2.7,9.2
3445,2014 Jun 15,0.0,14.3,16.0,12.5,-,12.4
4271,2014 Jun 15,0.2,9.8,15.0,4.6,-0.1,9.9
5451,2014 Jun 15,0.0,7.4,11.6,3.1,1.1,8.1
11104,2014 Jun 16,6.0,8.4,10.6,6.1,3.6,9.7
18183,2014 Jun 16,32.4,15.7,16.7,14.1,13.2,16.8
1962,2014 Jun 16,15.0,12.9,16.6,9.1,5.5,14.4
2283,2014 Jun 16,-,12.6,14.5,10.7,9.4,13.6
24120,2014 Jun 16,0.5,10.0,12.2,3.5,-,11.1
24976,2014 Jun 16,0.4,10.3,15.8,6.3,4.6,10.3
3445,2014 Jun 16,0.0,13.7,15.2,12.1,-,12.2
4271,2014 Jun 16,20.8,10.7,14.5,6.9,3.1,12.7
5451,2014 Jun 16,8.6,9.2,13.4,4.9,3.2,8.9
11104,2014 Jun 17,2.2,8.5,11.5,5.4,3.4,10.3
18183,2014 Jun 17,1.2,16.0,18.1,13.2,11.7,16.5
1962,2014 Jun 17,4.8,15.9,18.5,13.3,12.1,15.8
2283,2014 Jun 17,-,14.6,16.8,12.3,11.0,15.6
24120,2014 Jun 17,0.0,11.4,17.0,8.6,-,11.0
24976,2014 Jun 17,0.2,14.4,20.9,9.8,7.6,12.7
3445,2014 Jun 17,1.3,15.0,16.5,13.4,-,13.9
4271,2014 Jun 17,0.2,13.5,15.8,11.2,6.2,13.9
5451,2014 Jun 17,5.8,6.6,10.7,2.5,0.1,8.8
11104,2014 Jun 18,12.6,8.4,10.0,6.8,4.5,9.1
18183,2014 Jun 18,0.0,13.8,16.5,10.5,8.6,12.7
1962,2014 Jun 18,2.4,14.0,16.8,11.1,9.0,12.9
2283,2014 Jun 18,-,13.0,14.9,11.0,8.5,12.1
24120,2014 Jun 18,4.6,9.2,12.4,5.5,-,10.3
24976,2014 Jun 18,0.0,13.3,18.6,8.2,4.5,9.9
3445,2014 Jun 18,8.1,11.9,13.5,10.3,-,11.4
4271,2014 Jun 18,0.2,10.0,15.0,5.0,0.6,9.9
5451,2014 Jun 18,0.6,5.8,10.5,1.0,-1.5,7.7
11104,2014 Jun 19,6.6,6.2,8.4,3.9,1.7,7.0
18183,2014 Jun 19,2.0,12.0,16.6,8.6,7.1,12.1
1962,2014 Jun 19,4.8,13.1,15.0,11.1,8.3,11.9
2283,2014 Jun 19,-,12.5,14.6,10.3,6.3,10.8
24120,2014 Jun 19,0.0,6.5,12.1,2.9,-,8.5
24976,2014 Jun 19,0.0,11.2,17.1,5.0,1.4,8.9
3445,2014 Jun 19,0.0,10.5,15.0,6.0,-,9.6
4271,2014 Jun 19,0.0,8.1,13.2,2.9,-0.9,7.8
5451,2014 Jun 19,0.0,7.9,10.5,5.3,1.5,4.9
11104,2014 Jun 20,1.8,8.1,10.7,5.5,1.8,7.9
18183,2014 Jun 20,0.4,12.4,16.0,8.1,5.5,11.9
1962,2014 Jun 20,0.2,12.6,15.6,9.5,4.7,11.4
2283,2014 Jun 20,-,12.3,14.6,10.0,5.0,9.8
24120,2014 Jun 20,0.0,5.0,10.9,-1.1,-,7.2
24976,2014 Jun 20,0.0,8.2,15.8,3.5,1.4,8.0
3445,2014 Jun 20,0.0,9.4,13.6,5.2,-,9.1
4271,2014 Jun 20,0.0,9.5,13.3,5.6,-0.8,7.7
5451,2014 Jun 20,0.0,3.5,8.1,-1.1,-4.0,5.4
11104,2014 Jun 21,1.0,9.4,11.7,7.0,4.9,8.4
18183,2014 Jun 21,0.2,11.0,17.2,5.9,4.9,11.9
1962,2014 Jun 21,0.2,12.6,16.7,8.5,6.2,12.2
2283,2014 Jun 21,-,13.2,16.0,10.3,6.7,12.6
24120,2014 Jun 21,0.0,9.1,16.4,3.4,-,8.8
24976,2014 Jun 21,0.0,11.2,16.7,3.7,1.9,9.0
3445,2014 Jun 21,0.0,12.8,15.2,10.4,-,11.1
4271,2014 Jun 21,0.4,8.4,12.7,4.0,-0.3,9.4
5451,2014 Jun 21,6.8,7.8,14.7,0.9,-1.7,7.3
11104,2014 Jun 22,0.2,6.4,8.9,3.9,4.3,8.1
18183,2014 Jun 22,0.4,13.4,17.8,9.0,7.4,14.4
1962,2014 Jun 22,0.2,12.6,17.4,7.8,4.2,14.1
2283,2014 Jun 22,-,11.8,15.7,7.8,5.0,11.6
24120,2014 Jun 22,0.0,7.4,11.6,0.4,-,7.6
24976,2014 Jun 22,0.1,12.2,14.8,10.0,8.4,10.5
3445,2014 Jun 22,0.0,11.9,14.3,9.4,-,9.4
4271,2014 Jun 22,0.2,9.6,14.0,5.2,-0.3,9.7
5451,2014 Jun 22,0.0,3.7,8.8,-1.5,-4.1,6.0
11104,2014 Jun 23,0.0,5.0,9.3,0.7,-3.9,7.2
18183,2014 Jun 23,2.4,14.1,18.7,10.6,9.8,14.8
1962,2014 Jun 23,0.2,10.5,15.6,5.4,2.9,12.1
2283,2014 Jun 23,-,10.0,14.0,5.9,3.3,9.4
24120,2014 Jun 23,0.0,5.7,11.0,-0.2,-,7.9
24976,2014 Jun 23,0.0,8.8,15.1,4.5,1.2,8.3
3445,2014 Jun 23,0.0,8.6,12.7,4.5,-,8.4
4271,2014 Jun 23,0.0,10.9,13.2,8.6,5.5,10.1
5451,2014 Jun 23,0.0,1.9,6.8,-3.0,-5.3,5.7
11104,2014 Jun 24,0.2,6.0,12.3,-0.4,-4.3,7.6
18183,2014 Jun 24,6.4,15.0,17.2,13.3,12.8,14.8
1962,2014 Jun 24,0.4,13.9,17.1,10.7,7.4,13.1
2283,2014 Jun 24,-,11.7,15.6,7.7,7.6,13.5
24120,2014 Jun 24,0.0,9.0,17.8,0.9,-,8.6
24976,2014 Jun 24,0.0,9.3,17.4,3.3,-0.1,9.6
3445,2014 Jun 24,0.3,12.0,14.5,9.4,-,12.2
4271,2014 Jun 24,4.4,8.5,12.1,4.9,0.2,10.0
5451,2014 Jun 24,0.2,7.1,15.6,-1.4,-3.1,7.3
11104,2014 Jun 25,0.0,11.2,16.6,5.8,0.8,9.0
18183,2014 Jun 25,47.4,16.0,17.0,13.8,12.6,17.0
